Name,Price,24H change,24H volume,Market Cap
Bitcoin,"$18,016.30",+3.23%,$26.67 B,$342.3 B
Ethereum,"$1,342.63",+3.56%,$8.82 B,$161.61 B
Tether,$1.02,-0.03%,$37.48 B,$65.78 B
USD Coin,$1.00,-0.00%,$3.88 B,$44.45 B
BNB,$277.59,-1.46%,$1.93 B,$43.53 B
XRP,$0.4032,+2.05%,$1.14 B,$19.91 B
Binance USD,$0.9998,-0.04%,$10.94 B,$18.8 B
Dogecoin,$0.09277,+0.89%,$766.9 M,$12.08 B
Cardano,$0.3187,+2.33%,$303.76 M,$10.82 B
Polygon,$0.9426,+1.47%,$422.06 M,$8.07 B
Polkadot,$5.39,+2.11%,$247.07 M,$6.05 B
Dai,$1.02,+0.01%,$298.28 M,$5.86 B
Litecoin,$78.57,+1.53%,$680.09 M,$5.56 B
Wrapped TRON,$0.05436,+1.95%,"$948,648",$5.53 B
Solana,$14.53,+4.31%,$316.11 M,$5.09 B
Shiba Inu,$0.000009357,+2.24%,$172.64 M,$5.03 B
TRON,$0.05448,+1.77%,$261.41 M,$5.02 B
HEX,$0.02835,+4.45%,$4.73 M,$4.92 B
Uniswap,$6.22,+3.04%,$85.66 M,$4.65 B
Lido stETH,"$1,238.14",+0.60%,$11.96 M,$4.32 B
Avalanche,$13.96,+5.79%,$288.84 M,$4.27 B
UNUS SED LEO,$3.71,-0.24%,$2.58 M,$3.54 B
Wrapped Bitcoin,"$18,098.40",+3.30%,$112.25 M,$3.54 B
Chainlink,$7.07,+3.34%,$306.41 M,$3.52 B
Toncoin,$2.34,+11.97%,$75.45 M,$2.86 B
Cosmos,$9.93,+1.38%,$154.19 M,$2.79 B
Monero,$151.56,+0.65%,$85.85 M,$2.76 B
Ethereum Classic,$19.73,+3.82%,$159.83 M,$2.67 B
Stellar,$0.08604,-0.32%,$70.37 M,$2.19 B
Bitcoin Cash,$112.17,+3.74%,$203.04 M,$2.12 B
Algorand,$0.229,+2.43%,$58.66 M,$1.59 B
Cronos,$0.06357,+0.08%,$20.51 M,$1.57 B
Quant,$124.80,+1.42%,$36.1 M,$1.48 B
Filecoin,$4.40,+1.52%,$84.88 M,$1.47 B
ApeCoin,$4.15,-7.48%,$290.5 M,$1.47 B
NEAR Protocol,$1.74,+4.88%,$103.59 M,$1.43 B
VeChain,$0.01987,+0.83%,$38.85 M,$1.38 B
OKB,$22.92,+8.20%,$27.69 M,$1.38 B
Hedera,$0.0503,+0.94%,$20.27 M,$1.19 B
Internet Computer,$4.28,-0.08%,$30.68 M,$1.16 B
EOS,$1.02,+1.89%,$136.25 M,$1.08 B
Elrond,$44.77,-1.96%,$22.69 M,$1.05 B
Frax,$1.00,-0.12%,$13.55 M,$1.02 B
Wrapped BNB,$272.59,-1.44%,$182.43 M,$1.02 B
Luna Classic,$0.0001874,-1.31%,$82.64 M,$1.01 B
Huobi Token,$6.47,+3.08%,$13.43 M,$991.71 M
Flow,$0.9842,+0.76%,$42.37 M,$992.95 M
Bitcoin BEP2,"$17,804.72",+3.68%,$14.41 M,$951.88 M
Pax Dollar,$0.9998,+0.05%,$4.71 M,$945.47 M
Trust Wallet Token,$2.24,-4.87%,$148.73 M,$933.85 M
